LAMMPS data file for BaTiO3 core-shell model

5120 atoms
2560 bonds
6 atom types
3 bond types

0.0 32.0000 xlo xhi
0.0 32.0000 ylo yhi
0.0 32.0000 zlo zhi

Masses

1 137.33000  # Ba_core
2 0.00001  # Ba_shell
3 47.86700  # Ti_core
4 0.00001  # Ti_shell
5 15.99900  # O_core
6 0.00001  # O_shell

Atoms # full

200 100 6 2.6667 2.010000 8.010000 14.010000
201 101 1 2.0000 0.000000 8.000000 16.000000
202 101 2 -2.0000 0.010000 8.010000 16.010000
203 102 3 4.0000 2.000000 10.000000 18.000000
204 102 4 -4.0000 2.010000 10.010000 18.010000
205 103 5 -2.6667 2.000000 10.000000 16.000000
206 103 6 2.6667 2.010000 10.010000 16.010000
207 104 5 -2.6667 0.000000 10.000000 18.000000
208 104 6 2.6667 0.010000 10.010000 18.010000
209 105 5 -2.6667 2.000000 8.000000 18.000000
210 105 6 2.6667 2.010000 8.010000 18.010000
211 106 1 2.0000 0.000000 8.000000 20.000000
212 106 2 -2.0000 0.010000 8.010000 20.010000
213 107 3 4.0000 2.000000 10.000000 22.000000
214 107 4 -4.0000 2.010000 10.010000 22.010000
215 108 5 -2.6667 2.000000 10.000000 20.000000
216 108 6 2.6667 2.010000 10.010000 20.010000
217 109 5 -2.6667 0.000000 10.000000 22.000000
218 109 6 2.6667 0.010000 10.010000 22.010000
219 110 5 -2.6667 2.000000 8.000000 22.000000
220 110 6 2.6667 2.010000 8.010000 22.010000
221 111 1 2.0000 0.000000 8.000000 24.000000
222 111 2 -2.0000 0.010000 8.010000 24.010000
223 112 3 4.0000 2.000000 10.000000 26.000000
224 112 4 -4.0000 2.010000 10.010000 26.010000
225 113 5 -2.6667 2.000000 10.000000 24.000000
226 113 6 2.6667 2.010000 10.010000 24.010000
227 114 5 -2.6667 0.000000 10.000000 26.000000
228 114 6 2.6667 0.010000 10.010000 26.010000
229 115 5 -2.6667 2.000000 8.000000 26.000000
230 115 6 2.6667 2.010000 8.010000 26.010000
231 116 1 2.0000 0.000000 8.000000 28.000000
232 116 2 -2.0000 0.010000 8.010000 28.010000
233 117 3 4.0000 2.000000 10.000000 30.000000
234 117 4 -4.0000 2.010000 10.010000 30.010000
235 118 5 -2.6667 2.000000 10.000000 28.000000
236 118 6 2.6667 2.010000 10.010000 28.010000
237 119 5 -2.6667 0.000000 10.000000 30.000000
238 119 6 2.6667 0.010000 10.010000 30.010000
239 120 5 -2.6667 2.000000 8.000000 30.000000
240 120 6 2.6667 2.010000 8.010000 30.010000
241 121 1 2.0000 0.000000 12.000000 0.000000
242 121 2 -2.0000 0.010000 12.010000 0.010000
243 122 3 4.0000 2.000000 14.000000 2.000000
244 122 4 -4.0000 2.010000 14.010000 2.010000
245 123 5 -2.6667 2.000000 14.000000 0.000000
246 123 6 2.6667 2.010000 14.010000 0.010000
247 124 5 -2.6667 0.000000 14.000000 2.000000
248 124 6 2.6667 0.010000 14.010000 2.010000
249 125 5 -2.6667 2.000000 12.000000 2.000000
250 125 6 2.6667 2.010000 12.010000 2.010000
251 126 1 2.0000 0.000000 12.000000 4.000000
252 126 2 -2.0000 0.010000 12.010000 4.010000
253 127 3 4.0000 2.000000 14.000000 6.000000
254 127 4 -4.0000 2.010000 14.010000 6.010000
255 128 5 -2.6667 2.000000 14.000000 4.000000
256 128 6 2.6667 2.010000 14.010000 4.010000
257 129 5 -2.6667 0.000000 14.000000 6.000000
258 129 6 2.6667 0.010000 14.010000 6.010000
259 130 5 -2.6667 2.000000 12.000000 6.000000
260 130 6 2.6667 2.010000 12.010000 6.010000
261 131 1 2.0000 0.000000 12.000000 8.000000
